index,ind_id,gender,car_owner,property_owner,children,annual_income,type_income,education,marital_status,housing_type,age,experience,family_members,label,experience1,annual_income1
41,5045888,F,N,Y,0,12.32385568,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64,0,1,1,0,225000
42,5045894,F,N,Y,0,12.32385568,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64,0,1,1,0,225000
43,5045895,F,N,Y,0,12.32385568,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64,0,1,1,0,225000
44,5046324,F,N,Y,1,11.96718074,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42,2.48997992,3,1,6.2,157500
45,5046328,F,N,Y,1,11.96718074,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42,2.48997992,3,1,6.2,157500
46,5047662,F,N,Y,1,11.11988288,Commercial associate,Secondary / secondary special,Married,House / apartment,52,3.361547263,3,1,11.3,67500
47,5048300,M,Y,N,1,12.10071213,Commercial associate,Secondary / secondary special,Married,House / apartment,30,1.788854382,3,1,3.2,180000
48,5048301,M,Y,N,1,12.10071213,Commercial associate,Secondary / secondary special,Married,House / apartment,30,1.788854382,3,1,3.2,180000
49,5050603,M,N,N,0,11.96718074,Working,Secondary / secondary special,Married,House / apartment,50,4.472135955,2,1,20,157500
50,5050606,M,N,N,0,11.96718074,Working,Secondary / secondary special,Married,House / apartment,50,4.472135955,2,1,20,157500
51,5050671,M,N,N,0,12.04941884,Commercial associate,Incomplete higher,Single / not married,House / apartment,32,0.707106781,1,1,0.5,171000
52,5051160,M,Y,N,1,11.81303006,Working,Secondary / secondary special,Married,House / apartment,26,1.549193338,3,1,2.4,135000
53,5051161,M,Y,N,1,11.81303006,Working,Secondary / secondary special,Married,House / apartment,26,1.549193338,3,1,2.4,135000
54,5052659,F,N,Y,0,11.54732689,Working,Secondary / secondary special,Married,House / apartment,28,1.224744871,2,1,1.5,103500
55,5052661,F,N,Y,0,11.54732689,Working,Secondary / secondary special,Married,House / apartment,28,1.224744871,2,1,1.5,103500
56,5052877,M,Y,Y,0,12.32385568,Working,Secondary / secondary special,Married,House / apartment,49,3.033150178,2,1,9.2,225000
57,5052879,M,Y,Y,0,12.32385568,Working,Secondary / secondary special,Married,House / apartment,49,3.033150178,2,1,9.2,225000
58,5052882,M,Y,Y,0,12.32385568,Working,Secondary / secondary special,Married,House / apartment,49,3.033150178,2,1,9.2,225000
59,5053254,F,Y,Y,0,12.10071213,Commercial associate,Secondary / secondary special,Married,House / apartment,51,2.42899156,2,1,5.9,180000
60,5054063,M,N,N,1,11.96718074,Working,Secondary / secondary special,Married,House / apartment,45,2,3,1,4,157500
61,5054068,M,N,N,1,11.96718074,Working,Secondary / secondary special,Married,House / apartment,45,2,1,1,4,157500
62,5054524,F,N,N,2,12.10071213,Working,Secondary / secondary special,Married,House / apartment,46,4.785394446,4,1,22.9,180000
63,5054525,F,N,N,2,12.10071213,Working,Secondary / secondary special,Single / not married,House / apartment,46,4.785394446,4,1,22.9,180000
64,5058345,F,N,Y,0,11.50287513,Pensioner,Higher education,Separated,House / apartment,67,0,1,1,0,99000
66,5058350,M,N,Y,0,11.50287513,Pensioner,Higher education,Separated,House / apartment,67,0,1,1,0,99000
67,5058352,F,N,Y,0,11.50287513,Pensioner,Higher education,Separated,House / apartment,67,0,1,1,0,99000
68,5058530,M,N,N,0,12.87774079,Working,Secondary / secondary special,Single / not married,Municipal apartment,25,1.183215957,1,1,1.4,391500
69,5058531,M,N,N,0,12.87774079,Working,Secondary / secondary special,Single / not married,Municipal apartment,25,1.183215957,1,1,1.4,391500
70,5058532,M,N,N,0,12.87774079,Working,Secondary / secondary special,Single / not married,Municipal apartment,43.92149035,1.183215957,1,1,1.4,391500
71,5061360,M,N,Y,0,11.08598133,Pensioner,Higher education,Married,House / apartment,57,0,2,1,0,65250
72,5061396,M,N,Y,0,11.19684392,Pensioner,Lower secondary,Married,House / apartment,64,0,2,1,0,72900
73,5061636,F,N,Y,0,12.32385568,Pensioner,Secondary / secondary special,Married,Municipal apartment,59,0,2,1,0,225000
74,5061691,F,N,Y,1,11.11988288,Commercial associate,Higher education,Married,House / apartment,25,2.073644135,3,1,4.3,67500
75,5062136,M,N,N,1,12.10071213,Working,Secondary / secondary special,Single / not married,House / apartment,35,0.632455532,2,1,0.4,180000
77,5065348,F,Y,Y,0,12.21849517,Working,Higher education,Married,House / apartment,42,3.301514804,2,1,10.9,202500
78,5065462,F,N,N,0,11.96718074,Commercial associate,Secondary / secondary special,Married,House / apartment,52,2.073644135,2,1,4.3,157500
79,5065518,F,Y,N,1,12.21849517,Working,Higher education,Married,Rented apartment,26,2.810693865,3,1,7.9,202500
80,5068389,F,Y,Y,1,12.50617724,Working,Higher education,Separated,House / apartment,38,0.632455532,2,1,0.4,270000
81,5068456,F,Y,N,0,11.81303006,Commercial associate,Secondary / secondary special,Married,House / apartment,37,2.664582519,2,1,7.1,135000
82,5068651,F,Y,Y,0,12.79385931,State servant,Higher education,Separated,House / apartment,53,2.28035085,1,1,5.2,360000
83,5069216,F,Y,Y,0,12.45488394,Commercial associate,Higher education,Married,House / apartment,31,2.167948339,2,1,4.7,256500
84,5069218,F,Y,Y,0,12.45488394,Commercial associate,Higher education,Single / not married,House / apartment,31,2.167948339,2,1,4.7,256500
85,5069307,M,N,Y,0,11.96718074,Working,Secondary / secondary special,Married,House / apartment,43,1.897366596,2,1,3.6,157500
86,5078820,F,N,N,2,12.32385568,Commercial associate,Secondary / secondary special,Married,House / apartment,40,3.701351105,4,1,13.7,225000
87,5078945,F,N,Y,2,12.10071213,Working,Incomplete higher,Separated,House / apartment,34,3.098386677,3,1,9.6,180000
88,5078946,F,N,Y,2,12.10071213,Working,Incomplete higher,Separated,House / apartment,34,3.098386677,3,1,9.6,180000
89,5079166,M,Y,N,0,12.21849517,Working,Secondary / secondary special,Married,With parents,38,1.949358869,2,1,3.8,202500
90,5079167,M,Y,N,0,12.21849517,Working,Secondary / secondary special,Married,With parents,38,1.949358869,2,1,3.8,202500
91,5079168,M,Y,N,0,12.21849517,Working,Secondary / secondary special,Married,With parents,38,1.949358869,2,1,3.8,202500
92,5085886,M,Y,Y,0,12.66032792,Commercial associate,Higher education,Married,House / apartment,51,1.870828693,2,1,3.5,315000
93,5089162,F,Y,N,0,12.32385568,Working,Higher education,Married,House / apartment,56,2.626785107,2,1,6.9,225000
94,5089959,M,N,Y,1,11.74403719,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,35,2.408318916,3,1,5.8,126000
95,5090166,F,N,Y,1,13.42246797,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42,1.549193338,2,1,2.4,675000
96,5090214,M,Y,Y,0,11.81303006,Working,Secondary / secondary special,Married,House / apartment,29,0.774596669,2,1,0.6,135000
97,5090216,M,Y,Y,0,11.81303006,Working,Secondary / secondary special,Married,House / apartment,29,0.774596669,2,1,0.6,135000
98,5092087,M,Y,Y,2,12.41916586,Working,Secondary / secondary special,Married,House / apartment,47,1.224744871,4,1,1.5,247500
99,5092245,F,N,N,0,11.54732689,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,2,1,0,103500
100,5092479,M,N,N,1,11.35627165,State servant,Secondary / secondary special,Married,Municipal apartment,41,4.335896678,3,1,18.8,85500
101,5096527,F,N,N,0,11.81303006,Working,Secondary / secondary special,Widow,Co-op apartment,55,1.264911064,1,1,1.6,135000
102,5096528,F,N,N,0,11.81303006,Working,Secondary / secondary special,Widow,Co-op apartment,55,1.264911064,1,1,1.6,135000
103,5096743,F,N,Y,0,12.10071213,Working,Lower secondary,Widow,House / apartment,46,2.469817807,1,1,6.1,180000
104,5097065,F,N,Y,0,11.70766954,Working,Secondary / secondary special,Married,House / apartment,52,4.732863826,2,1,22.4,121500
105,5100430,M,Y,N,0,12.10071213,Working,Secondary / secondary special,Single / not married,House / apartment,45,1.303840481,1,1,1.7,180000
106,5105045,M,N,Y,0,12.32385568,Pensioner,Secondary / secondary special,Widow,House / apartment,63,0,1,1,0,225000
108,5106077,F,N,Y,0,11.81303006,Commercial associate,Secondary / secondary special,Married,House / apartment,54,4.358898944,2,1,19,135000
109,5113621,M,N,N,0,12.32385568,Working,Secondary / secondary special,Widow,Municipal apartment,53,0.948683298,1,1,0.9,225000
110,5113933,F,N,N,0,11.11988288,Pensioner,Secondary / secondary special,Widow,House / apartment,64,0,1,1,0,67500
111,5113944,F,Y,N,0,11.81303006,Pensioner,Secondary / secondary special,Married,House / apartment,64,0,2,1,0,135000
112,5114249,M,N,N,1,11.77912851,Working,Incomplete higher,Married,Rented apartment,31,2.236067977,3,1,5,130500
113,5114253,M,N,N,1,11.77912851,Working,Incomplete higher,Married,Rented apartment,31,2.236067977,3,1,5,130500
114,5115604,F,N,Y,0,12.21849517,Working,Secondary / secondary special,Married,House / apartment,40,3.065941943,2,1,9.4,202500
115,5115606,F,N,Y,0,12.21849517,Working,Secondary / secondary special,Married,House / apartment,40,3.065941943,2,1,9.4,202500
116,5115608,F,N,Y,0,12.21849517,Working,Secondary / secondary special,Married,House / apartment,40,3.065941943,2,1,9.4,202500
117,5115610,F,N,Y,0,12.21849517,Working,Secondary / secondary special,Married,House / apartment,40,3.065941943,2,1,9.4,202500
118,5115611,F,N,Y,0,12.21849517,Working,Secondary / secondary special,Single / not married,House / apartment,40,3.065941943,2,1,9.4,202500
119,5116035,M,Y,Y,0,11.74403719,Working,Higher education,Single / not married,House / apartment,40,1.549193338,1,1,2.4,126000
120,5116036,M,Y,Y,0,11.74403719,Working,Higher education,Single / not married,House / apartment,40,1.549193338,1,1,2.4,126000
122,5116301,F,N,Y,0,12.10071213,Pensioner,Secondary / secondary special,Married,House / apartment,62,0,2,1,0,180000
123,5116302,F,N,Y,0,12.10071213,Pensioner,Secondary / secondary special,Married,House / apartment,62,0,2,1,0,180000
124,5116304,F,N,Y,0,12.10071213,Pensioner,Secondary / secondary special,Married,House / apartment,62,0,2,1,0,180000
126,5116906,M,Y,Y,0,12.26198028,Pensioner,Secondary / secondary special,Married,House / apartment,41,4.549725266,2,1,20.7,211500
127,5117313,F,N,Y,1,11.96718074,Commercial associate,Secondary / secondary special,Married,House / apartment,36,3.286335345,3,1,10.8,157500
128,5117413,F,N,N,0,11.30220443,Pensioner,Secondary / secondary special,Separated,House / apartment,61,0,1,1,0,81000
129,5118046,F,N,N,0,11.30220443,Pensioner,Secondary / secondary special,Widow,House / apartment,65,0,1,1,0,81000
130,5118275,F,N,N,0,11.6307085,Pensioner,Secondary / secondary special,Married,Municipal apartment,59,0,2,1,0,112500
131,5118278,F,N,N,0,11.6307085,Pensioner,Secondary / secondary special,Married,Municipal apartment,59,0,2,1,0,112500
132,5118279,F,N,N,0,11.6307085,Pensioner,Secondary / secondary special,Married,Municipal apartment,59,0,2,1,0,112500
133,5118280,F,N,N,0,11.6307085,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,59,0,2,1,0,112500
134,5118283,M,N,N,0,11.6307085,Pensioner,Secondary / secondary special,Married,Municipal apartment,59,0,2,1,0,112500
135,5118541,F,N,Y,0,11.1844214,Working,Secondary / secondary special,Married,House / apartment,50,1.673320053,2,1,2.8,72000
136,5125289,F,N,N,1,12.21849517,Working,Secondary / secondary special,Separated,House / apartment,38,0.632455532,2,1,0.4,202500
137,5125299,F,N,Y,0,11.90834024,Pensioner,Secondary / secondary special,Married,House / apartment,57,0,2,1,0,148500
138,5125708,F,Y,Y,0,11.81303006,Working,Lower secondary,Married,House / apartment,45,1.303840481,2,1,1.7,135000
139,5125716,F,Y,Y,0,11.81303006,Working,Lower secondary,Married,House / apartment,45,1.303840481,2,1,1.7,135000
140,5125761,M,N,Y,0,12.50617724,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49,2.097617696,1,1,4.4,270000
141,5125763,M,Y,N,1,11.81303006,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,36,2.121320344,3,1,4.5,135000
142,5125934,F,N,Y,2,11.81303006,Commercial associate,Lower secondary,Civil marriage,With parents,27,2.258317958,4,1,5.1,135000
143,5126278,F,N,N,0,11.99535161,Pensioner,Secondary / secondary special,Married,House / apartment,58,0,2,1,0,162000
144,5135344,M,N,Y,0,11.6307085,Commercial associate,Higher education,Married,House / apartment,55,1.224744871,2,1,1.5,112500
145,5135345,M,N,Y,0,11.6307085,Commercial associate,Higher education,Married,House / apartment,55,1.224744871,2,1,1.5,112500
146,5135346,M,N,Y,0,11.6307085,Commercial associate,Higher education,Married,House / apartment,55,1.224744871,2,1,1.5,112500
147,5135485,F,N,Y,0,11.81303006,State servant,Higher education,Single / not married,Municipal apartment,29,2.302172887,1,1,5.3,135000
148,5135487,F,N,Y,0,11.81303006,State servant,Higher education,Single / not married,Municipal apartment,29,2.302172887,1,1,5.3,135000
149,5135636,M,Y,Y,0,12.18459361,Working,Secondary / secondary special,Married,House / apartment,52,1.61245155,2,1,2.6,195750
150,5135990,F,N,Y,1,13.27936713,Commercial associate,Higher education,Single / not married,House / apartment,29,1.58113883,2,1,2.5,585000
151,5135991,F,N,Y,1,13.27936713,Commercial associate,Higher education,Single / not married,House / apartment,29,1.58113883,2,1,2.5,585000
153,5142184,M,Y,Y,2,13.01700286,Commercial associate,Higher education,Married,House / apartment,49,3.435112807,4,1,11.8,450000
154,5142185,M,Y,Y,2,13.01700286,Commercial associate,Higher education,Married,House / apartment,49,3.435112807,4,1,11.8,450000
155,5142361,M,Y,Y,1,11.6307085,Working,Secondary / secondary special,Married,House / apartment,44,1.58113883,3,1,2.5,112500
156,5142362,M,Y,Y,1,11.6307085,Working,Secondary / secondary special,Married,House / apartment,44,1.58113883,3,1,2.5,112500
157,5142456,F,N,N,0,11.11988288,Commercial associate,Higher education,Separated,House / apartment,52,1.183215957,1,1,1.4,67500
158,5142458,F,N,Y,0,11.11988288,Commercial associate,Higher education,Separated,House / apartment,52,1.183215957,1,1,1.4,67500
159,5142459,F,N,Y,0,11.11988288,Commercial associate,Higher education,Separated,House / apartment,52,1.183215957,1,1,1.4,67500
160,5143342,M,N,N,1,12.28303369,Working,Secondary / secondary special,Married,Municipal apartment,35,2.569046516,3,1,6.6,216000
161,5145690,F,N,Y,0,12.63134038,Pensioner,Higher education,Married,House / apartment,59,0,2,1,0,306000
162,5145817,F,N,Y,0,11.40756495,Pensioner,Secondary / secondary special,Married,House / apartment,60,0,2,1,0,90000
163,5146005,M,Y,Y,0,12.32385568,Working,Secondary / secondary special,Single / not married,House / apartment,28,0.707106781,1,1,0.5,225000
164,5146079,F,N,Y,1,11.58988651,Working,Secondary / secondary special,Married,House / apartment,35,1.760681686,3,1,3.1,108000
165,5146167,F,N,Y,0,11.81303006,Working,Secondary / secondary special,Married,House / apartment,56,2.19089023,2,1,4.8,135000
166,5146444,F,N,Y,0,11.81303006,Working,Secondary / secondary special,Widow,House / apartment,39,1.58113883,1,1,2.5,135000
167,5148932,M,Y,N,0,11.58988651,Working,Secondary / secondary special,Married,Office apartment,47,1.732050808,2,1,3,108000
168,5148934,M,Y,N,0,11.58988651,Working,Secondary / secondary special,Married,Office apartment,47,1.732050808,2,1,3,108000
169,5149188,M,Y,N,1,13.01700286,Working,Higher education,Married,House / apartment,27,1.183215957,3,1,1.4,450000
170,5149190,M,Y,N,1,13.01700286,Working,Higher education,Married,House / apartment,27,1.183215957,3,1,1.4,450000
171,5149192,F,Y,N,1,13.01700286,Working,Higher education,Married,House / apartment,27,1.183215957,3,1,1.4,450000
172,5149828,M,Y,Y,0,12.66032792,Working,Secondary / secondary special,Married,House / apartment,48,2.569046516,2,1,6.6,315000
173,5149834,F,N,Y,0,11.96718074,Commercial associate,Higher education,Married,House / apartment,34,1.897366596,2,1,3.6,157500
174,5149838,F,N,Y,0,11.96718074,Pensioner,Higher education,Married,House / apartment,34,1.897366596,2,1,3.6,157500
175,5118538,F,N,Y,1,11.30220443,Working,Secondary / secondary special,Married,Municipal apartment,43,4.171330723,3,0,17.4,81000
176,5069057,M,Y,N,0,12.32385568,Commercial associate,Secondary / secondary special,Married,House / apartment,49,2.607680962,2,0,6.8,225000
177,5066689,F,N,Y,0,12.10071213,Commercial associate,Higher education,Civil marriage,House / apartment,35,0.948683298,2,0,0.9,180000
178,5086062,F,N,Y,0,11.81303006,State servant,Secondary / secondary special,Married,House / apartment,56,5.07937004,2,0,25.8,135000
179,5113717,F,N,N,1,11.81303006,Working,Secondary / secondary special,Married,House / apartment,45,2.898275349,3,0,8.4,135000
180,5066765,F,N,Y,1,11.05089001,Commercial associate,Secondary / secondary special,Married,House / apartment,40,2.863564213,3,0,8.2,63000
181,5105227,F,N,Y,0,11.81303006,Working,Secondary / secondary special,Married,House / apartment,48,2.408318916,2,0,5.8,135000
182,5054648,F,N,Y,0,11.6307085,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66,0,1,0,0,112500
183,5067187,F,N,Y,0,11.6307085,Working,Higher education,Married,House / apartment,31,1.483239697,2,0,2.2,112500
184,5105818,F,N,Y,0,10.71441777,Pensioner,Secondary / secondary special,Married,House / apartment,60,0,2,0,0,45000
186,5125478,F,N,Y,0,12.21849517,Pensioner,Secondary / secondary special,Married,House / apartment,57,0,2,0,0,202500
187,5046340,M,N,Y,1,12.10071213,Working,Lower secondary,Married,House / apartment,29,2.144761059,3,0,4.6,180000
188,5054058,F,Y,N,1,13.01700286,Working,Higher education,Married,House / apartment,41,3.577708764,3,0,12.8,450000
189,5022326,M,Y,Y,0,12.45488394,Commercial associate,Higher education,Married,House / apartment,59,2.144761059,2,0,4.6,256500
190,5065764,F,N,Y,0,11.40756495,Working,Secondary / secondary special,Single / not married,House / apartment,40,1.378404875,1,0,1.9,90000
191,5067849,F,N,Y,0,12.10071213,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40,1.264911064,1,0,1.6,180000
192,5097169,F,N,N,0,11.40756495,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29,1.549193338,1,0,2.4,90000
193,5048583,F,N,Y,0,11.81303006,Pensioner,Secondary / secondary special,Married,House / apartment,59,0,2,0,0,135000
194,5115566,M,N,Y,0,11.74403719,Pensioner,Secondary / secondary special,Married,Rented apartment,45,0,2,0,0,126000
195,5052722,F,N,N,0,11.74403719,Pensioner,Secondary / secondary special,Married,House / apartment,60,0,2,0,0,126000
196,5067723,F,N,Y,1,12.72932079,Working,Academic degree,Single / not married,House / apartment,34,2.75680975,2,0,7.6,337500
197,5056077,M,Y,Y,0,11.40756495,Working,Secondary / secondary special,Married,House / apartment,33,2.049390153,2,0,4.2,90000
198,5022275,M,Y,Y,0,11.78600139,Pensioner,Secondary / secondary special,Married,House / apartment,65,0,2,0,0,131400
199,5143016,M,N,N,0,12.10071213,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,40,2.949576241,2,0,8.7,180000
200,5066709,F,N,Y,0,12.41916586,Pensioner,Secondary / secondary special,Widow,House / apartment,67,0,1,0,0,247500
201,5021445,F,N,Y,0,11.70766954,Working,Secondary / secondary special,Married,With parents,36,3.78153408,2,0,14.3,121500
202,5053592,F,N,Y,1,11.66992921,Working,Lower secondary,Widow,House / apartment,48,2.898275349,2,0,8.4,117000
203,5116163,F,N,Y,2,11.40756495,Working,Secondary / secondary special,Married,House / apartment,27,0.948683298,4,0,0.9,90000
204,5041273,M,N,Y,0,13.00695253,Commercial associate,Higher education,Separated,House / apartment,53,2.607680962,1,0,6.8,445500
205,5066627,M,Y,Y,0,11.96718074,Working,Secondary / secondary special,Married,House / apartment,43.92149035,1.264911064,2,0,1.6,157500
206,5125399,M,Y,N,0,11.6307085,Working,Secondary / secondary special,Married,House / apartment,28,1.516575089,2,0,2.3,112500
207,5067345,F,Y,N,0,12.10071213,Commercial associate,Secondary / secondary special,Married,House / apartment,45,1.732050808,2,0,3,180000
208,5053711,F,Y,N,2,11.96718074,Commercial associate,Incomplete higher,Married,House / apartment,35,1.949358869,4,0,3.8,157500
209,5096234,F,N,N,0,11.66992921,Working,Secondary / secondary special,Married,House / apartment,47,4.472135955,2,0,20,117000
210,5125158,M,N,Y,1,12.36307639,Working,Secondary / secondary special,Married,House / apartment,33,2.19089023,3,0,4.8,234000
211,5143231,F,Y,Y,1,14.26976583,Commercial associate,Higher education,Single / not married,House / apartment,28,2.607680962,2,0,6.8,1575000
212,5062688,M,Y,Y,0,12.41916586,State servant,Secondary / secondary special,Married,Municipal apartment,55,1.549193338,2,0,2.4,247500
213,5105685,F,N,Y,2,11.87756858,Working,Secondary / secondary special,Married,House / apartment,39,2.774887385,4,0,7.7,144000
214,5115984,M,Y,Y,2,12.10071213,Working,Higher education,Married,House / apartment,36,2.607680962,4,0,6.8,180000
216,5065363,F,N,Y,1,12.28303369,Working,Higher education,Single / not married,House / apartment,29,2.213594362,2,0,4.9,216000
217,5140074,F,N,Y,0,11.40756495,Commercial associate,Secondary / secondary special,Married,House / apartment,41,1.095445115,2,0,1.2,90000
218,5067643,F,N,Y,0,12.04941884,Pensioner,Higher education,Married,House / apartment,55,0,2,0,0,171000
219,5091963,M,Y,N,0,12.10071213,Working,Secondary / secondary special,Married,Municipal apartment,52,1.974841766,2,0,3.9,180000
220,5053637,F,N,N,0,12.32385568,Pensioner,Higher education,Separated,House / apartment,60,0,1,0,0,225000
221,5067149,M,N,N,2,12.32385568,Working,Incomplete higher,Married,House / apartment,38,0.836660027,4,0,0.7,225000
222,5096424,M,Y,N,0,12.50617724,Commercial associate,Higher education,Separated,House / apartment,32,2.529822128,1,0,6.4,270000
223,5046283,F,N,Y,0,11.11319389,Pensioner,Higher education,Married,House / apartment,67,0,2,0,0,67050
224,5029348,M,Y,Y,0,12.50617724,Working,Higher education,Married,House / apartment,30,1.048808848,2,0,1.1,270000
225,5096061,F,N,N,2,11.20299778,Working,Secondary / secondary special,Married,House / apartment,39,4.404543109,4,0,19.4,73350
226,5028917,F,Y,Y,0,11.6307085,Working,Secondary / secondary special,Married,House / apartment,47,2.213594362,2,0,4.9,112500
227,5117778,F,Y,N,0,11.87756858,Working,Secondary / secondary special,Widow,House / apartment,39,1.923538406,1,0,3.7,144000
228,5095310,F,Y,Y,0,12.32385568,Working,Higher education,Married,House / apartment,34,3.193743885,2,0,10.2,225000
229,5050655,F,N,N,0,11.6307085,Working,Secondary / secondary special,Married,House / apartment,40,1.702938637,2,0,2.9,112500
230,5033817,F,Y,N,1,12.58621995,State servant,Higher education,Married,House / apartment,44,2.701851217,3,0,7.3,292500
231,5052963,M,Y,Y,0,11.81303006,Commercial associate,Secondary / secondary special,Married,House / apartment,27,2.664582519,2,0,7.1,135000
232,5113159,M,Y,Y,0,11.96718074,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,27,2.408318916,1,0,5.8,157500
233,5143235,F,Y,Y,1,14.26976583,Commercial associate,Higher education,Single / not married,House / apartment,28,2.607680962,2,0,6.8,1575000
234,5132800,F,N,Y,0,11.96718074,Working,Secondary / secondary special,Separated,House / apartment,51,2.049390153,1,0,4.2,157500
